id;name
47e8c955-131e-4dcb-8463-dd68315075ab;although gently
ee56f261-3e18-484b-b6ff-f12b2c6fa988;till jellyfish
d7e51fa3-7424-4094-971f-579aa415bd74;pattypan
64a6809d-531e-470e-9a50-18f353f0fc63;resect thankfully since
586fdf71-087a-41f8-a3d0-41256454bac2;exasperate
a3720fba-24d4-403f-9fe4-50c23568cead;wholly
89a1ff2f-71b1-41c6-8cb4-de1919f970dd;beneath fervently while
61564177-7608-402e-84b1-f6d19212365c;but
dcb0c997-1f2b-4c47-8a4a-f3725ad3f837;but to basic
d58fb666-e1fa-4382-86c8-924430a19049;or receive
